id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
26633,VRMG,medium_airport,Gan International Airport,-0.693342,73.155602,6.0,AS,MV,MV-01,Gan,yes,VRMG,GAN,MV,http://www.airports.com.mv/domestic/gan.htm,https://en.wikipedia.org/wiki/Gan_International_Airport,"Gan Airport, Addu City, Maldives"
26634,VRMH,medium_airport,Hanimaadhoo Airport,6.744229793548584,73.17050170898438,4.0,AS,MV,MV-23,Haa Dhaalu Atoll,yes,VRMH,HAQ,,,https://en.wikipedia.org/wiki/Hanimaadhoo_Airport,
26635,VRMK,medium_airport,Kadhdhoo Airport,1.8591699600219729,73.52189636230469,4.0,AS,MV,MV-05,Kadhdhoo,yes,VRMK,KDO,,,https://en.wikipedia.org/wiki/Kadhdhoo_Airport,
26636,VRMM,large_airport,Malé International Airport,4.191830158233643,73.52909851074219,6.0,AS,MV,MV-MLE,Malé,yes,VRMM,MLE,,http://www.airports.com.mv/,https://en.wikipedia.org/wiki/Mal%C3%A9_International_Airport,
308991,VRMO,small_airport,Kooddoo Airport,0.7324,73.4336,29.0,AS,MV,MV-27,Huvadhu Atoll,yes,VRMO,GKK,,,https://en.wikipedia.org/wiki/Kooddoo_Airport,
26637,VRMT,medium_airport,Kaadedhdhoo Airport,0.4881309866905212,72.99690246582031,2.0,AS,MV,MV-28,Huvadhu Atoll,yes,VRMT,KDM,,,https://en.wikipedia.org/wiki/Kaadedhdhoo_Domestic_Airport,
330376,VRMU,small_airport,Dhaalu Atoll Airport,2.666075,72.887118,6.0,AS,MV,MV-17,Kudahuvadhoo,no,VRMU,DDD,,,https://en.wikipedia.org/wiki/Dhaalu_Airport,
301316,VRMV,medium_airport,Villa Airport,3.47055555556,72.8358333333,6.0,AS,MV,MV-13,Maamigili,yes,VRMV,VAM,,,https://en.wikipedia.org/wiki/Maamigili_Airport,
316419,VRNT,small_airport,Thimarafushi Airport,2.211,73.1533,6.0,AS,MV,MV-08,Thimarafushi,yes,VRNT,TMF,,,https://en.wikipedia.org/wiki/Thimarafushi_Airport,
315195,VTA,small_airport,Victoria Airport,14.9344,-87.394,1200.0,,HN,HN-YO,Victoria,no,,,,,https://en.wikipedia.org/wiki/Victoria_Airport_(Honduras),
26638,VTBD,large_airport,Don Mueang International Airport,13.9125995636,100.607002258,9.0,AS,TH,TH-10,Bangkok,yes,VTBD,DMK,,http://www2.airportthai.co.th/airportnew/bangkok/index.asp?lang=en,https://en.wikipedia.org/wiki/Don_Mueang_International_Airport,"Old Bangkok International Airport, Don Muang Royal Thai Air Force Base"
26643,VTBO,medium_airport,Trat Airport,12.2746,102.319,105.0,AS,TH,TH-23,Laem Ngop,yes,VTBO,TDX,,,https://en.wikipedia.org/wiki/Trat_Airport,
28118,VTBS,large_airport,Suvarnabhumi Airport,13.681099891662598,100.74700164794922,5.0,AS,TH,TH-10,Bangkok,yes,VTBS,BKK,,,https://en.wikipedia.org/wiki/Suvarnabhumi_Airport,
26645,VTBU,medium_airport,U-Tapao International Airport,12.67990016937256,101.00499725341795,42.0,AS,TH,TH-21,Rayong,yes,VTBU,UTP,,http://www.utapao.com/,https://en.wikipedia.org/wiki/U-Tapao_International_Airport,"Utapao, U-Taphao, U-Tapao Royal Thai Navy Airfield"
26647,VTCC,large_airport,Chiang Mai International Airport,18.7667999268,98.962600708,1036.0,AS,TH,TH-50,Chiang Mai,yes,VTCC,CNX,,,https://en.wikipedia.org/wiki/Chiang_Mai_International_Airport,
26648,VTCH,medium_airport,Mae Hong Son Airport,19.301300048828125,97.97579956054688,929.0,AS,TH,TH-58,,yes,VTCH,HGN,,,https://en.wikipedia.org/wiki/Mae_Hong_Son_Airport,
32597,VTCI,small_airport,Mae Hong Son Airport,19.3719997406,98.43699646,1271.0,AS,TH,TH-58,Mae Hong Son,no,VTCI,PYY,,,http://en.wikipedihttp://en.wikipedia.org/wiki/Pai_Airporta.org/wiki/Pai_Airport,Pai Airport
26649,VTCL,medium_airport,Lampang Airport,18.27090072631836,99.50420379638672,811.0,AS,TH,TH-52,,yes,VTCL,LPT,,,https://en.wikipedia.org/wiki/Lampang_Airport,
26650,VTCN,medium_airport,Nan Airport,18.807899475097656,100.78299713134766,685.0,AS,TH,TH-55,,yes,VTCN,NNT,,,https://en.wikipedia.org/wiki/Nan_Airport,
302310,VTCO,small_airport,Lamphun Airport,18.546816,99.012029,925.0,AS,TH,TH-51,,yes,VTCO,,,,https://en.wikipedia.org/wiki/Lamphun_Airport,
26652,VTCR,closed,Old Chiang Rai Airport,19.885401,99.826797,1312.0,AS,TH,TH-57,Chiang Rai,no,,,,,https://en.wikipedia.org/wiki/Old_Chiang_Rai_Airport,VTCR
26653,VTCT,medium_airport,Mae Fah Luang - Chiang Rai International Airport,19.952299,99.882896,1280.0,AS,TH,TH-57,Chiang Rai,yes,VTCT,CEI,,,https://en.wikipedia.org/wiki/Chiang_Rai_International_Airport,
26654,VTPB,medium_airport,Phetchabun Airport,16.6760005951,101.194999695,450.0,AS,TH,TH-67,,yes,VTPB,PHY,,,https://en.wikipedia.org/wiki/Phetchabun_Airport,
26655,VTPH,medium_airport,Hua Hin Airport,12.6361999512,99.951499939,62.0,AS,TH,TH-76,Hua Hin,yes,VTPH,HHQ,,,https://en.wikipedia.org/wiki/Hua_Hin_Airport,
26656,VTPI,medium_airport,Takhli Airport,15.277299881,100.29599762,107.0,AS,TH,TH-60,,no,VTPI,TKH,,,https://en.wikipedia.org/wiki/Takhli_Royal_Thai_Air_Force_Base,
26658,VTPM,medium_airport,Mae Sot Airport,16.699899673461914,98.54509735107422,690.0,AS,TH,TH-63,,yes,VTPM,MAQ,,,https://en.wikipedia.org/wiki/Mae_Sot_Airport,
26660,VTPO,medium_airport,Sukhothai Airport,17.238000869750977,99.81819915771484,179.0,AS,TH,TH-64,,yes,VTPO,THS,,,https://en.wikipedia.org/wiki/Sukhothai_Airport,
26661,VTPP,medium_airport,Phitsanulok Airport,16.782899856567383,100.27899932861328,154.0,AS,TH,TH-65,,yes,VTPP,PHS,,,https://en.wikipedia.org/wiki/Phitsanulok_Airport,
26665,VTSB,medium_airport,Surat Thani Airport,9.13259983063,99.135597229,20.0,AS,TH,TH-84,Surat Thani,yes,VTSB,URT,,,https://en.wikipedia.org/wiki/Surat_Thani_Airport,
26666,VTSC,medium_airport,Narathiwat Airport,6.519919872283936,101.74299621582033,16.0,AS,TH,TH-96,,yes,VTSC,NAW,,,https://en.wikipedia.org/wiki/Narathiwat_Airport,
26668,VTSF,medium_airport,Nakhon Si Thammarat Airport,8.539620399475098,99.9447021484375,13.0,AS,TH,TH-80,Nakhon Si Thammarat,yes,VTSF,NST,,,https://en.wikipedia.org/wiki/Nakhon_Si_Thammarat_Airport,ท่าอากาศยานนครศรีธรรมราช
26669,VTSG,medium_airport,Krabi Airport,8.09912014008,98.9861984253,82.0,AS,TH,TH-81,Krabi,yes,VTSG,KBV,,,https://en.wikipedia.org/wiki/Krabi_Airport,
26672,VTSM,medium_airport,Samui Airport,9.547789573669998,100.06199646,64.0,AS,TH,TH-80,Na Thon (Ko Samui Island),yes,VTSM,USM,,http://www.samuiairportonline.com,https://en.wikipedia.org/wiki/Samui_Airport,
26673,VTSN,medium_airport,Cha Eian Airport,8.47115039825,99.9555969238,44.0,AS,TH,TH-80,Nakhon Si Thammarat,no,VTSN,,,,https://en.wikipedia.org/wiki/Cha_Eian_Airport,NST
26674,VTSP,large_airport,Phuket International Airport,8.1132,98.316902,82.0,AS,TH,TH-83,Phuket,yes,VTSP,HKT,,,https://en.wikipedia.org/wiki/Phuket_International_Airport,
26675,VTSR,medium_airport,Ranong Airport,9.777620315551758,98.58550262451172,57.0,AS,TH,TH-85,,yes,VTSR,UNN,,,https://en.wikipedia.org/wiki/Ranong_Airport,
26676,VTSS,medium_airport,Hat Yai International Airport,6.93320989609,100.392997742,90.0,AS,TH,TH-90,Hat Yai,yes,VTSS,HDY,,,https://en.wikipedia.org/wiki/Hat_Yai_International_Airport,
26677,VTST,medium_airport,Trang Airport,7.50874,99.6166,67.0,AS,TH,TH-92,Trang,yes,VTST,TST,,,https://en.wikipedia.org/wiki/Trang_Airport,
26678,VTUD,medium_airport,Udon Thani Airport,17.386400222800003,102.788002014,579.0,AS,TH,TH-41,Udon Thani,yes,VTUD,UTH,,http://www.udonthaniairport.com/,https://en.wikipedia.org/wiki/Udon_Thani_International_Airport,
26679,VTUI,medium_airport,Sakon Nakhon Airport,17.195100784301758,104.11900329589844,529.0,AS,TH,TH-47,,yes,VTUI,SNO,,,https://en.wikipedia.org/wiki/Sakon_Nakhon_Airport,
26680,VTUJ,medium_airport,Surin Airport,14.868300437927,103.49800109863,478.0,AS,TH,TH-32,Surin,yes,VTUJ,PXR,,,https://en.wikipedia.org/wiki/Surin_Airport,Surin Bhakdi Airport
26681,VTUK,medium_airport,Khon Kaen Airport,16.466600418099997,102.783996582,670.0,AS,TH,TH-40,Khon Kaen,yes,VTUK,KKC,,,https://en.wikipedia.org/wiki/Khon_Kaen_Airport,
26682,VTUL,medium_airport,Loei Airport,17.43910026550293,101.72200012207033,860.0,AS,TH,TH-42,,yes,VTUL,LOE,,,https://en.wikipedia.org/wiki/Loei_Airport,
26683,VTUN,small_airport,Khorat Airport,14.9345,102.079002,729.0,AS,TH,TH-30,Nakhon Ratchasima,no,VTUN,,,,https://en.wikipedia.org/wiki/Korat_Royal_Thai_Air_Force_Base,Korat Air Base
26684,VTUO,medium_airport,Buri Ram Airport,15.229499816894531,103.25299835205078,590.0,AS,TH,TH-31,,yes,VTUO,BFV,,,https://en.wikipedia.org/wiki/Buriram_Airport,
26685,VTUQ,medium_airport,Nakhon Ratchasima Airport,14.9495,102.313004,765.0,AS,TH,TH-30,Chaloem Phra Kiat,no,VTUQ,NAK,,,https://en.wikipedia.org/wiki/Nakhon_Ratchasima_Airport,
26687,VTUU,medium_airport,Ubon Ratchathani Airport,15.2512998581,104.870002747,406.0,AS,TH,TH-34,Ubon Ratchathani,yes,VTUU,UBP,,,https://en.wikipedia.org/wiki/Ubon_Ratchathani_Airport,
26688,VTUV,medium_airport,Roi Et Airport,16.11680030822754,103.77400207519533,451.0,AS,TH,TH-45,,yes,VTUV,ROI,,,https://en.wikipedia.org/wiki/Roi_Et_Airport,
26689,VTUW,medium_airport,Nakhon Phanom Airport,17.383800506591797,104.64299774169922,587.0,AS,TH,TH-48,,yes,VTUW,KOP,,,https://en.wikipedia.org/wiki/Nakhon_Phanom_Airport,
342011,VU-0001,closed,Turtle Bay Airfield,-15.377557,167.179473,58.0,OC,VU,VU-SAM,Espiritu Santo Is.,no,,,,,https://en.wikipedia.org/wiki/Turtle_Bay_Airfield,Fighter Field #1
342012,VU-0002,closed,Luganville Airfield,-15.5155,167.1319,484.0,OC,VU,VU-SAM,Espiritu Santo Is.,no,,,,,https://en.wikipedia.org/wiki/Luganville_Airfield,Bomber Field #3
342018,VU-0003,closed,Palikulo Bay Airfield,-15.5016,167.2458,43.0,OC,VU,VU-SAM,Espiritu Santo Is.,no,,,,,https://en.wikipedia.org/wiki/Palikulo_Bay_Airfield,Bomber Field #1
342025,VU-0004,closed,Luganville Seaplane Base,-15.555,167.147,0.0,OC,VU,VU-SAM,Espiritu Santo Is.,no,,,,,https://en.wikipedia.org/wiki/Luganville_Seaplane_Base,
26591,VV02,small_airport,Bien Hoa Air Base,10.9766998291,106.818000793,79.0,AS,VN,VN-SE,Bien Hoa,no,,,,,https://en.wikipedia.org/wiki/Bien_Hoa_Air_Base,
26690,VVBM,medium_airport,Buon Ma Thuot Airport,12.668299675,108.120002747,1729.0,AS,VN,VN-CH,Buon Ma Thuot,yes,VVBM,BMV,,,https://en.wikipedia.org/wiki/Buon_Ma_Thuot_Airport,
26691,VVCA,small_airport,Chu Lai Airport,15.4033,108.706001,10.0,AS,VN,VN-SCC,Tam Nghĩa,yes,VVCA,VCL,,,https://en.wikipedia.org/wiki/Chu_Lai_Airport,chu lai air base
